ASM,Assembly,Y
DFT,Draft,Y
DGM,Diagram,Y
DRW,Drawing,Y
FRM,Format,Y
GPH,Group,Y
INT,Interchange,Y
IPF,Integr Proj,Y
LAY,Layout,Y
LGH,Light,Y
MFG,Manufacturing,Y
MRK,Markup,Y
PRJ,Project,Y
PRT,Part,Y
REP,Report,Y
SEC,Sketcher Section,Y
PRO,Config File,N
